date,close,volume,open,high,low
31,22.99,2369854,24.27,24.57,22.67
30,23.8,1574604,24.37,24.3945,23.32
29,24.93,1490388,24.6,25.23,24.22
28,23.9,1591809,25.17,25.78,23.89
27,25.22,968722,24.77,25.465,24.5
26,25.53,880684,25.36,26.1399,25.32
25,25.26,759501,25.92,26.05,25.15
24,25.77,757640,26.47,26.69,25.22
23,26.7,919015,27.04,27.34,26.51
22,26.98,990587,26.07,27.02,25.75
21,25.85,784679,25.47,26.08,25
20,25.5,1784788,25.54,25.87,25.04
19,24.93,2082645,25.68,26.32,24.81
18,25.97,1445991,27.52,27.52,25.96
17,27.45,981963,27.47,28.05,27.28
16,27.6,756297,27.72,28.185,27.13
15,27.87,1132496,27.79,28.335,26.9
14,27.68,1606116,28.83,28.83,27.02
13,28.92,1285019,28.86,29.49,28.4
12,28.76,3153955,28.75,29.48,28.49
11,27.42,1239793,28.5,28.88,27.16
10,28.43,2092224,28.07,28.6395,27.5548
9,28.08,4576054,28.49,28.99,26.535
8,28.42,5160437,30.83,31.3,27.9001
7,32.33,941667,31.59,32.55,31.37
6,31.41,895017,31.33,31.62,30.66
5,31.52,1689144,31.47,31.78,31.345
4,31.46,618285,31.24,31.515,30.63
3,31.07,814180,31.63,31.87,30.52
2,31.44,551641,31.06,31.7325,30.99
1,30.97,855757,31.66,31.94,30.88
